Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0211624949959985,4.92661467177413E-16,0.0249434719718205,0,0,0,0.0659420572431438,2.43103414096679E-05,-2.39927616445365E-19,-1.39930015932805E-20,8.06894412690768E-06,2.35587834751974E-21,2.68588330138184E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/base_link.STL,,Combine10-1;Combine11-1,Base C,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
body,0.0685148216179135,-4.42682774453446E-06,0.0467001070137181,0,0,0,0.496639066924458,0.00149591849901006,1.03151535070494E-09,3.07702244598391E-05,0.00144606548045187,1.57244113460038E-10,0.00267183295714425,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/body.STL,,Chamfer30-1;Fillet75-1;Chamfer29-1;Body9-1;Chamfer23-1;Body15-1;Body30-1;Chamfer24-1,Base C,Lidar axis,body joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
frl1,-0.0330827736422902,-0.00722934151823741,0.000418331693714052,0,0,0,0.117834936469288,3.36212162228568E-05,-1.2629053812903E-07,9.86302713330813E-07,4.58648130754467E-05,6.1464186088223E-08,2.95619988679093E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/frl1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/frl1.STL,,Fillet67-1;Body20-1;STS3215_03a v1-5/STS3215_03a v1.step-1/main.step-1;STS3215_03a v1-6/STS3215_03a v1.step-1/ac1.step-1;STS3215_03a v1-6/STS3215_03a v1.step-1/main.step-1;Body29-1,FRJ1,fra1,frj1,revolute,0.17414998999199,-0.100000000000003,0.0124999999999981,0,0,0,body,1,0,0,0,0,0,0,,,,,,,,
frl2,0.0495039611151496,0.00308363260404299,3.36300731882816E-05,0,0,0,0.0327427406791841,2.36211325171225E-06,-1.82144231378615E-06,5.3001884145117E-08,6.96792503296596E-05,-1.52288500179078E-09,6.83066050314469E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/frl2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/frl2.STL,,Body21-1;STS3215_03a v1-5/STS3215_03a v1.step-1/ac1.step-1,FRJ2,fra2,fr2,revolute,-0.0491499899919928,-0.0370500000000011,-0.0124999999999997,0,0.972338328172472,3.14159265358975,frl1,0,-1,0,0,0,0,0,,,,,,,,
frl3,0.0354021288796409,-0.00415972508234178,-0.00150636440240177,0,0,0,0.0329883043698088,2.77907611302829E-06,1.64415168559151E-06,1.43868735070886E-06,4.49244535808011E-05,-4.21279772138218E-08,4.52224201715715E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/frl3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/frl3.STL,,Body5-1,FRJ3,fra3,frj3,revolute,0.130000000000001,0,0,-3.14159265358976,1.17515991707223,0,frl2,0,1,0,0,0,0,0,,,,,,,,
frf,-0.0372067466831557,0.075755579333321,-0.00430845511626876,0,0,0,0.0391239641844244,3.443757274144E-05,1.8831533753828E-05,8.60621438429007E-07,1.43027022500589E-05,-1.40717508012886E-06,4.55015933996562E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/frf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/frf.STL,,toe-2,frf,,frfj,fixed,0.13371,-0.01,-0.012728,1.5708,-0.99409,0,frl3,0,0,0,,,,,,,,,,,,
rrl1,-0.0331150698592211,-0.00753408696397746,0.000390670321087375,0,0,0,0.117834936626154,3.34830014466878E-05,-1.30939059540668E-07,1.01106907960196E-06,4.58648130686855E-05,5.76877955133698E-08,2.97002136391466E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/rrl1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/rrl1.STL,,Body6-1;STS3215_03a v1-7/STS3215_03a v1.step-1/main.step-1;STS3215_03a v1-8/STS3215_03a v1.step-1/main.step-1;Body18-1;Body37-1;STS3215_03a v1-7/STS3215_03a v1.step-1/ac1.step-1,RRJ1,rra1,rrj1,revolute,-0.0758500100080101,-0.0999999999999923,0.0124999999999978,0,0,0,body,1,0,0,0,0,0,0,,,,,,,,
rrl2,0.0495039607816219,0.00308363261310401,3.36300789548494E-05,0,0,0,0.0327427412206868,2.362113251134E-06,-1.82144231017304E-06,5.30018875578042E-08,6.96792506173073E-05,-1.52288480672859E-09,6.83066053236157E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/rrl2.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/rrl2.STL,,STS3215_03a v1-8/STS3215_03a v1.step-1/ac1.step-1;Body36-1,RRJ2,rra2,rrj2,revolute,-0.0491499899919926,-0.0370500000000028,-0.0125000000000014,0,0.972338328172434,3.14159265358975,rrl1,0,-1,0,0,0,0,0,,,,,,,,
rrl3,0.0353898943622804,-0.00415972445295623,0.00177073809753137,0,0,0,0.032988307019775,2.87664503098122E-06,1.64101225276778E-06,-2.49027197965082E-06,4.49244605126804E-05,1.09948854852845E-07,4.5124858255579E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/rrl3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/rrl3.STL,,Body3-1,RRJ3,rra3,rrj3,revolute,0.130000000000001,0,0,-3.14159265358979,1.17515991707228,0,rrl2,0,1,0,0,0,0,0,,,,,,,,
rrf,-0.0443150869891751,0.0718198712943343,-0.00430845421426626,0,0,0,0.0391239565733671,3.08010632204733E-05,2.03623001864309E-05,9.8694536985401E-07,1.79392149473901E-05,-1.32164885975316E-06,4.55015985886051E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/rrf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/rrf.STL,,toe-4,rrf,,rrfj,fixed,0.13432,-0.01,0,1.5708,-0.99409,0,rrl3,0,0,0,,,,,,,,,,,,
fll1,-0.0330827754116091,0.00722934392142499,0.000418258169132497,0,0,0,0.11783492679603,3.3621213899044E-05,1.26285165678637E-07,9.87305849468343E-07,4.58648077075355E-05,-6.12579291528073E-08,2.95619903185152E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/fll1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/fll1.STL,,STS3215_03a v1-2/STS3215_03a v1.step-1/main.step-1;Mirror11[4]-1;STS3215_03a v1-1/STS3215_03a v1.step-1/main.step-1;Mirror11[5]-1;Mirror11[2]-1;STS3215_03a v1-2/STS3215_03a v1.step-1/ac1.step-1,FLJ1,fla1,flj1,revolute,0.174149989991999,0.0999999999999999,0.012499999999998,0,0,0,body,1,0,0,0,0,0,0,,,,,,,,
fll2,0.0495041630749743,-0.00308339200615954,3.37355090232368E-05,0,0,0,0.0327429580159204,2.36249482714854E-06,1.8214802355438E-06,5.32272464061636E-08,6.96800327254901E-05,1.43854497840649E-09,6.83072804750153E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/fll2.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/fll2.STL,,STS3215_03a v1-1/STS3215_03a v1.step-1/ac1.step-1;Mirror11[7]-1,FLJ2,fla2,flj2,revolute,-0.0491499899920034,0.0370500000000039,-0.0124999999999996,0,0.972338328172268,3.14159265358975,fll1,0,1,0,0,0,0,0,,,,,,,,
fll3,0.0354021307657874,0.0041597587799469,-0.00150636775750042,0,0,0,0.0329882713813818,2.77907429537025E-06,-1.64416543345447E-06,1.43867762349397E-06,4.49244320649217E-05,4.21307912156828E-08,4.52224004574102E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/fll3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/fll3.STL,,Mirror11[8]-1,FLJ3,rla3,flj3,revolute,0.130000000000005,0,0,-3.14159265358979,1.17515991707243,0,fll2,0,-1,0,0,0,0,0,,,,,,,,
flf,-0.0372067466832225,0.0757555793333308,-0.00430845511632676,0,0,0,0.0391239641844249,3.44375727414421E-05,1.88315337538554E-05,8.60621438391131E-07,1.43027022501315E-05,-1.40717508012667E-06,4.55015933997228E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/flf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/flf.STL,,toe-1,flf,,flfj,fixed,0.13371,0,-0.012728,1.5708,-0.99409,0,fll3,0,0,0,,,,,,,,,,,,
rll1,-0.0331150716310265,0.00753408938406845,0.000390596793895588,0,0,0,0.117834927018618,3.34829991504405E-05,1.30933685833969E-07,1.01207222661234E-06,4.58648077282849E-05,-5.74815387674041E-08,2.97002050991176E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/rll1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/rll1.STL,,Body2-1;STS3215_03a v1-3/STS3215_03a v1.step-1/main.step-1;STS3215_03a v1-4/STS3215_03a v1.step-1/main.step-1;Body16-1;STS3215_03a v1-3/STS3215_03a v1.step-1/ac1.step-1;Body32-1,RLJ1,rla1,rlj1,revolute,-0.0758500100080014,0.100000000000011,0.0124999999999977,0,0,0,body,1,0,0,0,0,0,0,,,,,,,,
rll2,0.0495041607047615,-0.00308339211490813,3.37353852691569E-05,0,0,0,0.0327429619514683,2.36249483126637E-06,1.82148017380633E-06,5.32271625186619E-08,6.96800347305014E-05,1.43854288409805E-09,6.83072825015319E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/rll2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/rll2.STL,,Body33-1;STS3215_03a v1-4/STS3215_03a v1.step-1/ac1.step-1,RLJ2,rla2,rlj2,revolute,-0.0491499899919991,0.037049999999993,-0.012499999999999,0,0.972338328172441,3.14159265358974,rll1,0,1,0,0,0,0,0,,,,,,,,
rll3,0.0353898994921192,0.00415975771778324,0.00177073712912129,0,0,0,0.0329882641144535,2.87664312781939E-06,-1.64102784467174E-06,-2.49027914037765E-06,4.49244372633735E-05,-1.09947662366761E-07,4.51248348235387E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/rll3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/rll3.STL,,Body4-1,RLJ3,rla3,rlj3,revolute,0.130000000000001,0,0,3.14159265358979,1.17515991707224,0,rll2,0,-1,0,0,0,0,0,,,,,,,,
rlf,-0.0443150869891664,0.0718198712943451,-0.00430845421432814,0,0,0,0.0391239565733679,3.08010632204621E-05,2.03623001864362E-05,9.86945369843253E-07,1.79392149473634E-05,-1.32164885976693E-06,4.55015985885389E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/rlf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/rlf.STL,,toe-3,rlf,,rlfj,fixed,0.13432,0,0,1.5708,-0.99409,0,rll3,0,0,0,,,,,,,,,,,,
servos,0.0762682147862423,6.69603261727048E-16,0.0124999999999979,0,0,0,0.126545681508872,2.16770290970474E-05,-3.29087144588186E-20,-1.39722972642624E-20,2.02237787743586E-05,-6.52445971797462E-11,3.35896864518147E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/servos.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/servos.STL,,FT5335M Servo_Motor-4;FT5335M Servo_Motor-2;FT5335M Servo_Motor-1;FT5335M Servo_Motor-3,Base C,Axis_servo j,servo j,fixed,0,0,0,0,0,0,body,0,0,0,,,,,,,,,,,,
lidar,0.0311558088249081,6.73206435849137E-05,-5.10248827649551E-06,0,0,0,0.0859629941083472,4.53649745992584E-05,-6.12342067513324E-08,-3.0639304788052E-09,2.33375541979599E-05,-1.57753013758978E-11,3.77689256696665E-05,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros urdf assembly2.SLDASM/meshes/lidar.STL,,Body10-1,Lidar,Lidar axis,lidar joint,fixed,0.172825000000002,0,0.0875683270440672,0,0,0,base_link,0,0,0,,,,,,,,,,,,
